epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.9838,1.77031,3.5505,1.3345,0.02,0.66667,0.01766,0.00906,1.02945,3.2766,1.09916,0,0,0
2,10.1296,2.22814,3.86597,1.38756,0.02,0.66667,0.01766,0.00906,1.02945,3.2766,1.09916,0.000600667,0.000600667,0.000600667
3,15.2317,1.39539,3.42948,1.27237,0.02,0.66667,0.01766,0.00906,1.02945,3.2766,1.09916,0.00106933,0.00106933,0.00106933
4,20.2214,1.46089,3.49678,1.24306,0.005,0.16667,0.0675,0.03514,3.2764,3.43883,2.60967,0.001406,0.001406,0.001406
5,23.501,2.49407,2.61874,1.41654,0.005,0.16667,0.0675,0.03514,3.2764,3.43883,2.60967,0.001208,0.001208,0.001208
6,26.4466,3.04483,3.32265,1.67393,0.005,0.16667,0.0675,0.03514,3.2764,3.43883,2.60967,0.00101,0.00101,0.00101
7,29.5963,2.7296,2.73788,1.49232,0.005,0.16667,0.06046,0.03036,3.23169,3.55406,2.79671,0.000812,0.000812,0.000812
8,32.782,1.93893,2.49416,1.2723,0.005,0.16667,0.06046,0.03036,3.23169,3.55406,2.79671,0.000614,0.000614,0.000614
9,35.8441,2.1351,2.16061,1.47668,0.005,0.16667,0.06046,0.03036,3.23169,3.55406,2.79671,0.000416,0.000416,0.000416
10,38.9232,2.15667,2.57213,1.41427,0.00667,0.22222,0.05957,0.03549,3.16512,3.3833,2.3573,0.000218,0.000218,0.000218
